Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,
Africa Eastern and Southern,AFE,Arable land (% of land area),AG.LND.ARBL.ZS,,4.702843083,4.754587533,4.866723384,4.918673714,4.972682842,5.002260903,5.025388065,5.066975779,5.128602459,5.211160249,5.263453711,5.314786402,5.326178416,5.346560514,5.391648185,5.413334188,5.416216505,5.494862579,5.471941297,5.463774733,5.466176664,5.473313829,5.499529187,5.504058542,5.648037132,5.678850472,5.682968067,5.709457932,5.762300407,5.744457493,5.758731825,5.78741774,5.922063113,5.964886106,6.055473207,6.102619676,6.121766495,6.104335341,6.163903223,6.16273657,6.184587277,6.259431438,6.496879446,6.585035514,6.73485122,6.805821777,6.916873653,7.045072764,7.291427074,7.434979913,7.625402114,7.852112262,7.902579271,7.969327476,8.001533632,8.062898451,8.144832941,8.205574806,8.210892995,8.240550733,
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,,11.72899131,11.80565138,11.88231145,11.95897153,11.95897153,12.01263358,12.02643239,12.02643239,12.05096362,12.06629563,12.11229168,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,11.99576836,11.81025099,11.73359091,11.7243917,11.78265336,11.89304386,11.73359091,11.77958696,11.77958696,11.77192095,11.91604189,11.98350275,11.96663754,11.94977232,11.94977232,11.94977232,11.94823912,11.94823912,11.94517272,11.94363951,11.93597351,11.91450869,11.90530948,11.85011422,11.80411818,11.94977232,11.94057311,12.00343437,
Africa Western and Central,AFW,Arable land (% of land area),AG.LND.ARBL.ZS,,6.984021586,7.076486363,7.331710989,7.445694395,7.698172127,7.689369906,7.696153685,7.795094942,8.40107864,7.985058442,7.831529705,7.361455931,7.910834813,7.372504195,7.3093752,7.360780386,6.764811879,6.601973517,6.536970831,6.787253283,6.405086129,6.560628271,6.597219919,7.020511222,7.271456967,7.822321569,7.813919861,7.908881268,7.923805355,8.102673291,8.428902759,8.574163864,8.717103445,8.854957781,9.223637984,9.445730495,9.538149281,9.624443663,9.814543356,9.788962367,9.692024347,9.863834849,10.18488953,10.06170059,10.30323753,10.34878695,10.46596977,10.57637263,10.20164651,10.43768807,10.59040238,10.83440455,11.02069805,11.015007,11.00983,11.09309203,11.11002479,11.10484779,11.0996929,11.09490587,
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.33576642,22.31189781,22.26277372,21.88321168,
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510638,1.829787234,1.723404255,1.70212766,1.659574468,1.638297872,1.617021277,1.638297872,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.765957447,1.70212766,1.531914894,
Arab World,ARB,Arable land (% of land area),AG.LND.ARBL.ZS,,3.385237915,3.386854201,3.403604803,3.431449006,3.46553795,3.457309584,3.47846824,3.470607212,3.488019022,3.508516469,3.530262865,3.570963889,3.579349709,3.608810284,3.613585689,3.65340522,3.645103362,3.662588691,3.654433769,3.647674734,3.671742775,3.686123356,3.674177497,3.709267173,3.731486765,3.755069919,3.791671561,3.80026729,3.809803407,3.851856358,3.904253571,3.965195136,4.140356734,4.127167819,4.205729728,4.251019603,4.222033672,4.216134218,4.194415708,4.118229744,4.114431466,4.148990654,4.286938798,4.238408533,4.294256274,4.248235163,4.279647597,4.217211221,4.226410777,4.243036301,4.243552788,4.432892081,4.456819244,4.444468617,4.472685154,4.537552293,4.594424287,4.585729364,4.528778676,4.596191648,
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,,0.070402703,0.070402703,0.070402703,0.070402703,0.070402703,0.084483244,0.084483244,0.084483244,0.084483244,0.098563785,0.098563785,0.098563785,0.112644326,0.126724866,0.154885948,0.154885948,0.168966488,0.168966488,0.168966488,0.225288651,0.267530273,0.253449732,0.323852436,0.337932977,0.366094058,0.40833568,0.40833568,0.40833568,0.40833568,0.492818924,0.492818924,0.535060546,0.563221628,0.591382709,0.60546325,0.647704872,0.633624331,0.506899465,0.60546325,0.844832442,0.999718389,1.056040552,0.901154604,0.887074064,0.957476767,0.712475359,0.627992115,0.7265559,0.702618981,0.712475359,0.635032385,0.52238806,0.528020276,0.61954379,0.620951845,0.626584061,0.626584061,0.595606871,0.702618981,0.689946494,
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,8.76131385,8.80735487,8.853395891,8.899436911,8.945477931,8.991518952,9.037559972,9.083600992,9.129642013,9.175683033,9.221724054,9.267765074,9.313806094,9.359847115,9.405888135,9.451929155,9.497970176,9.544011196,9.590052216,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.89937114,11.6178303,12.34761701,13.00202069,13.51446455,13.02167947,12.60307159,13.88651985,14.11431328,14.47840274,14.39377496,13.89989367,13.40601237,12.91213108,12.41824978,11.92417106,11.92417106,11.92417106,
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797331,15.87987355,15.82016157,15.78503688,15.75342466,15.77801194,15.74991219,15.74288725,15.71829996,15.69020021,15.6796628,15.66561293,15.65156305,15.62346329,15.59536354,
American Samoa,ASM,Arable land (% of land area),AG.LND.ARBL.ZS,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.5,6,6.35,6.7,7.05,7.4,7.75,8.2,10.45,12.7,14.95,17.2,19.45,19.25,19.05,18.85,18.65,18.55,18.3,18.05,17.8,17.55,17.3,17.05,16.8,16.55,16.3,15.95,15.95,15.95,
Antigua and Barbuda,ATG,Arable land (% of land area),AG.LND.ARBL.ZS,,18.18181818,15.90909091,18.18181818,15.90909091,18.18181818,18.18181818,15.90909091,15.90909091,18.18181818,18.18181818,15.90909091,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,6.818181818,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,
